id,student_id,date,time,topic
1,1,2025-05-28,09:00,Математика: Деление дробей
2,1,2025-05-29,10:00,Русский язык: Сложные предложения
3,1,2025-05-30,11:00,Физика: Плотность вещества
4,2,2025-05-28,12:00,Английский язык: Времена глаголов
5,2,2025-05-29,13:00,Биология: Строение клетки
6,2,2025-05-30,14:00,История: Вторая мировая война
7,3,2025-05-29,15:00,Информатика: Основы алгоритмов
8,3,2025-05-30,09:00,Математика: Линейные уравнения
9,3,2025-05-31,10:00,Русский язык: Синтаксис
10,4,2025-05-30,11:00,Физика: Закон Ньютона
11,4,2025-05-31,12:00,Химия: Строение вещества
12,4,2025-06-01,13:00,История: Киевская Русь
13,5,2025-05-31,14:00,Биология: Фотосинтез
14,5,2025-06-01,15:00,Астрономия: Планеты солнечной системы
15,5,2025-06-02,09:00,География: Климатические зоны
16,6,2025-05-30,10:00,Русский язык: Орфография
17,6,2025-05-31,11:00,Литература: Произведения Пушкина
18,6,2025-06-02,12:00,Биология: Органы чувств
19,7,2025-05-29,13:00,Физика: Электрический ток
20,7,2025-05-31,14:00,Информатика: Язык Python
21,7,2025-06-01,15:00,Химия: Реакции замещения
22,8,2025-05-30,09:00,История: Первобытное общество
23,8,2025-05-31,10:00,Математика: Дроби и проценты
24,8,2025-06-01,11:00,Русский язык: Морфология
25,9,2025-05-28,12:00,Физика: Механика
26,9,2025-05-29,13:00,Биология: Экосистемы
27,9,2025-05-30,14:00,История: Реформы Петра I
28,10,2025-05-29,15:00,Литература: Лермонтов и Пушкин
29,10,2025-05-30,09:00,Русский язык: Части речи
30,10,2025-05-31,10:00,География: Материки и океаны
31,11,2025-05-31,11:00,Физика: Оптика
32,11,2025-06-01,12:00,Математика: Квадратные уравнения
33,11,2025-06-02,13:00,Русский язык: Предложения
34,12,2025-05-30,14:00,Биология: Внутренние органы человека
35,12,2025-05-31,15:00,Информатика: Основы программирования
36,12,2025-06-01,09:00,История: Римская империя
37,13,2025-05-29,10:00,Математика: Основы геометрии
38,13,2025-05-31,11:00,География: Климатические зоны
39,13,2025-06-01,12:00,Русский язык: Причастия
40,14,2025-05-30,13:00,Физика: Законы механики
41,14,2025-05-31,14:00,Литература: Русские былины
42,14,2025-06-01,15:00,Биология: Эволюция живых организмов
43,15,2025-05-29,09:00,История: Средние века
44,15,2025-05-30,10:00,Английский язык: Past Simple
45,15,2025-05-31,11:00,Русский язык: Сложные предложения
46,16,2025-05-28,12:00,Математика: Умножение дробей
47,16,2025-05-29,13:00,Русский язык: Орфография
48,16,2025-05-31,14:00,Информатика: Основы алгоритмов
